식품명,식품대분류명,영양성분함량기준량,에너지(kcal),단백질(g),지방(g),탄수화물(g),당류(g),식이섬유(g),나트륨(mg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g)
바질마들렌,,100g,431.0,6.65,21.97,51.59,21.36,,145.0,181.03,14.38,0.43
바질마요 올리브치아바타,,100g,284.0,8.57,8.6,43.09,3.45,,588.0,3.59,1.3,0.03
바질마요소스,,100g,339.0,1.08,27.41,22.04,16.56,,634.0,13.79,5.88,0.23
바질마카다미아,,100g,295.0,7.0,9.0,46.0,7.0,,300.0,4.6,1.4,0.0
바질머핀,,100g,393.0,4.44,22.22,44.44,24.44,,122.0,0.0,0.0,0.0
바질모짜 치아바타 샌드위치,,100g,273.0,9.48,14.88,25.38,5.13,,688.0,34.88,8.46,0.38
바질모짜렐라치즈베이글맨,,100g,282.0,10.01,8.39,41.58,2.58,,566.0,22.77,4.71,0.12
바질바스크치즈케이크,,100g,458.0,5.87,28.1,42.33,20.71,,210.0,62.89,17.14,0.71
바질바잇,,100g,440.0,10.17,11.93,71.84,18.5,,608.0,25.0,8.5,0.0
바질버터소스,,100g,217.0,8.5,13.02,16.49,3.01,,305.0,43.87,7.72,0.04
바질베이글,,100g,320.0,8.78,7.94,53.15,8.92,,562.0,2.86,1.44,0.05
바질베이글W,,100g,307.0,9.09,4.55,57.27,7.27,,28.0,0.09,2.64,0.09
바질브레드,,100g,323.0,10.0,8.57,51.43,1.43,,443.0,0.0,1.43,0.0
바질브레드 냉동생지,,100g,231.0,7.14,3.14,42.86,1.43,,371.0,0.0,0.43,0.0
바질소금빵 냉동생지,,100g,311.5,10.1,4.62,57.95,2.78,,247.5,9.38,2.13,0.0
바질소스,,100g,654.0,1.39,67.64,9.87,2.47,,768.0,42.09,6.78,0.0
바질소스훈제오리볶음,,100g,242.0,9.06,12.99,24.41,2.76,,402.0,25.59,3.15,0.39
바질스콘,,100g,432.5,7.59,22.5,50.22,7.81,,436.0,25.38,8.36,0.54
바질스테이크솥밥,,100g,179.0,8.25,4.61,26.01,1.85,,155.0,18.87,2.05,0.1
바질스트링치즈,,100g,300.0,20.0,21.0,5.0,0.0,,500.0,50.0,11.0,0.0
바질시금치 치아바타,,100g,269.0,8.12,4.06,50.08,2.47,,413.0,0.0,0.53,0.0
바질시드 드링크 딸기향,,100g,56.0,0.0,0.0,14.0,12.0,,210.0,0.0,0.0,0.0
바질시드 드링크 리치,,100g,148.0,0.0,0.0,37.0,36.0,,80.0,0.0,0.0,0.0
바질시드 드링크 리치향,,100g,104.0,0.0,0.0,26.0,24.0,,152.5,0.0,0.0,0.0
바질시드 드링크 망고향,,100g,104.0,0.0,0.0,26.0,24.0,,152.5,0.0,0.0,0.0
바질시드 드링크 석류향,,100g,56.0,0.0,0.0,14.0,12.0,,210.0,0.0,0.0,0.0
바질시드 드링크 칵테일향,,100g,56.0,0.0,0.0,14.0,12.0,,210.0,0.0,0.0,0.0
바질시드 드링크 파인애플향,,100g,56.0,0.0,0.0,14.0,12.0,,210.0,0.0,0.0,0.0
바질시오빵,,100g,358.0,8.24,12.94,51.76,7.06,,547.0,1.18,5.88,0.0
바질식빵,,100g,317.0,10.91,11.82,41.82,5.91,,346.0,18.18,5.91,0.29
바질쌀베이글,,100g,290.0,12.5,12.5,43.3,4.9,,585.0,0.0,0.5,0.0
바질쏙쏙 후라이드봉,,100g,277.0,14.0,18.0,16.0,3.0,,502.0,31.0,3.5,0.0
바질쏙쏙 후라이드윙,,100g,268.0,14.0,16.0,16.0,2.0,,440.0,33.0,2.8,0.0
바질씨드 드링크 딸기향,,100g,168.0,0.0,0.0,42.0,38.0,,25.0,0.0,0.0,0.0
바질씨드 드링크 리치 플레이버,,100g,101.0,0.0,0.0,25.55,24.2,,17.0,0.0,0.0,0.0
바질씨드 드링크 리치향,,100g,82.4,0.0,0.0,20.36,18.95,,23.4,0.0,0.0,0.0
바질씨드 드링크 망고 플레이버,,100g,101.0,0.0,0.0,25.55,24.2,,17.0,0.0,0.0,0.0
바질씨드 드링크 망고향,,100g,52.0,0.0,0.0,13.1,12.41,,9.0,0.0,0.0,0.0
바질씨드 드링크 백포도향,,100g,52.0,0.0,0.0,13.1,12.41,,9.0,0.0,0.0,0.0
바질씨드 드링크 블루베리향,,100g,154.0,0.0,0.0,38.5,36.0,,25.0,0.0,0.0,0.0
바질씨드 드링크 석류향,,100g,168.0,0.0,0.0,42.0,38.0,,25.0,0.0,0.0,0.0
바질씨드 드링크 수박향,,100g,51.0,0.0,0.0,12.76,11.72,,9.0,0.0,0.0,0.0
바질씨드 드링크 오렌지향,,100g,168.0,0.0,0.0,42.0,38.0,,25.0,0.0,0.0,0.0
바질씨드 드링크 위드 딸기 향,,100g,19.0,0.0,0.0,4.83,3.79,,9.0,0.0,0.0,0.0
바질씨드 드링크 위드 리치 향,,100g,19.0,0.0,0.0,4.83,3.79,,9.0,0.0,0.0,0.0
바질씨드 드링크 위드 망고 향,,100g,19.0,0.0,0.0,4.83,3.79,,9.0,0.0,0.0,0.0
바질씨드 드링크 위드 석류 향,,100g,19.0,0.0,0.0,4.83,3.79,,9.0,0.0,0.0,0.0
바질씨드 드링크 위드 칵테일 향,,100g,19.0,0.0,0.0,4.83,3.79,,9.0,0.0,0.0,0.0
바질씨드 드링크 파인애틀향,,100g,168.0,0.0,0.0,42.0,38.0,,25.0,0.0,0.0,0.0
바질씨드 드링크 패션푸르츠향,,100g,102.0,0.0,0.0,25.55,24.2,,52.0,0.0,0.0,0.0
바질씨드 드링크 화이트 그레이프 플레이버,,100g,150.0,0.0,0.0,38.0,36.0,,25.0,0.0,0.0,0.0
바질씨드넘버원석류향,,100g,44.0,0.0,0.0,11.03,10.34,,30.0,0.0,0.0,0.0
바질씨드넘버원청포도,,100g,45.0,0.0,0.0,11.03,10.69,,30.0,0.0,0.0,0.0
