식품명,식품대분류명,영양성분함량기준량,에너지(kcal),단백질(g),지방(g),탄수화물(g),당류(g),식이섬유(g),나트륨(mg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g)
#딸기티라미수,과자류·빵류 또는 떡류,100g,305.0,3.0,20.0,28.0,20.0,,65.0,55.0,8.0,0.0
#마카롱트리,과자류·빵류 또는 떡류,100g,350.0,4.0,21.0,36.0,26.0,,80.0,75.0,13.0,2.0
#뷔슈드노엘,과자류·빵류 또는 떡류,100g,345.0,5.0,20.0,36.0,25.0,,60.0,90.0,12.0,0.0
#트리몽블랑,과자류·빵류 또는 떡류,100g,320.0,4.0,19.0,33.0,19.0,,60.0,90.0,13.0,0.0
+ 모짜렐라 스틱,유가공품류,100g,280.0,21.9,21.0,1.0,0.0,,587.0,72.0,13.4,0.6
0.3mm 아주 얇은 만두피,즉석식품류,100g,263.0,9.8,1.1,53.3,0.0,,206.33,0.0,0.0,0.0
0.5mm 페이퍼롤 버터맛,과자류·빵류 또는 떡류,100g,515.0,8.46,25.13,63.66,28.63,,180.0,55.08,14.06,0.6
0.5mm 페이퍼롤 초코맛,과자류·빵류 또는 떡류,100g,528.0,9.81,29.29,56.38,29.56,,175.0,56.81,16.61,0.61
0.7공깃밥,즉석식품류,100g,150.0,0.0,0.73,33.33,0.0,,7.0,0.0,0.0,0.0
002콜드브루,음료류,100g,17.0,1.02,0.18,2.82,0.0,,0.0,0.0,0.0,0.0
08:50 BEANSIX COFFEE MIX,음료류,100g,421.0,3.4,10.4,80.8,48.9,4.9,39.0,0.0,8.2,0.0
1++ 양념한우등심불고기,식육가공품 및 포장육,100g,205.0,17.0,9.0,14.0,5.0,,320.0,35.0,4.2,0.0
1+1핫도그,과자류·빵류 또는 떡류,100g,300.0,8.75,15.0,32.5,11.25,,588.0,25.0,4.0,0.05
1+등급 판정 구운계란,알가공품류,100g,170.0,16.45,10.08,3.46,0.0,,188.0,428.27,3.57,0.0
1+등급 한우 불고기,식육가공품 및 포장육,100g,225.0,14.4,14.5,9.2,8.2,,492.0,45.7,4.8,0.3
1+등급 한우 양념 불고기,식육가공품 및 포장육,100g,199.0,14.38,11.73,8.89,2.96,,316.0,37.69,5.31,0.03
1+등급 한우 양념 불고기 2.2 kg,식육가공품 및 포장육,100g,199.0,14.38,11.73,8.89,2.96,,316.0,37.69,5.31,0.03
1-MINUTE STOCK RINGS,조미식품,100g,9.0,0.6,0.1,1.6,0.1,,530.0,52.72,0.0,0.01
1.5미터 롤 쓱시지,식육가공품 및 포장육,100g,300.0,13.61,26.43,1.94,0.0,,619.0,54.3,10.09,0.18
1.6자연숙성양조간장,장류,100g,64.0,9.8,0.0,6.3,0.4,,6454.0,0.0,0.0,0.0
1/2 크링클 컷,농산가공식품류,100g,137.0,3.1,3.4,23.4,0.0,,11.0,0.0,0.9,0.0
1/2 하프마요네스,조미식품,100g,405.0,0.0,37.0,18.0,4.0,,630.0,60.0,7.0,0.5
1/4’’ 프로즌 플라워 코티드 프라이즈,농산가공식품류,100g,133.0,2.0,4.5,21.0,0.5,,490.0,0.0,2.3,0.0
1000모나카 초코,빙과류,100g,117.0,0.71,3.5,20.71,10.0,,4.0,5.0,3.29,0.0
1000아일랜드드레싱,조미식품,100g,377.5,1.0,35.0,15.0,10.5,,722.5,16.5,5.3,0.25
1000원 아메리카노 블랙,음료류,100g,3.0,0.16,0.0,0.44,0.0,,9.0,0.0,0.0,0.0
1000원 아메리카노 스위트,음료류,100g,3.0,0.16,0.0,0.57,0.0,,9.0,0.0,0.0,0.0
1000원 아메리카노 헤이즐넛향,음료류,100g,11.0,0.1,0.02,2.62,2.33,,23.0,0.0,0.0,0.0
1000콘 딸기우유,빙과류,100g,148.0,1.43,5.0,24.29,12.86,,28.0,6.43,3.5,0.0
1000콘 밀크바닐라,빙과류,100g,136.0,2.0,5.33,20.0,10.67,,18.0,6.0,4.0,0.06
1000콘 초코바닐라,빙과류,100g,143.0,2.0,4.67,23.33,11.33,,24.0,3.33,3.27,0.04
100s쭈꾸미,수산가공식품류,100g,160.0,1.0,20.0,1.0,1.0,,110.0,20.0,1.0,1.0
100과일로만든라즈베리잼,잼류,100g,184.0,1.0,0.0,45.0,44.0,,0.0,0.0,0.0,0.0
100과일로만든레드과일잼,잼류,100g,176.0,1.0,0.0,43.0,43.0,,0.0,0.0,0.0,0.0
100과일로만든모렐로체리잼,잼류,100g,180.0,1.0,0.0,44.0,42.0,,0.0,0.0,0.0,0.0
100과일로만든블루베리잼,잼류,100g,188.0,1.0,0.0,46.0,44.0,,0.0,0.0,0.0,0.0
100과일로만든살구잼,잼류,100g,180.0,1.0,0.0,44.0,44.0,,0.0,0.0,0.0,0.0
100과일로만든자두잼,잼류,100g,188.0,1.0,0.0,46.0,45.0,,0.0,0.0,0.0,0.0
100국산 밤묵가루 전분,농산가공식품류,100g,358.0,1.39,0.24,87.5,0.0,,2.0,0.0,0.09,0.0
100국산고추장,장류,100g,230.0,5.0,3.2,45.0,27.0,,2340.0,0.0,0.7,0.0
100국산맛밤,농산가공식품류,100g,164.0,2.86,1.86,34.29,8.57,,57.0,0.0,0.0,0.0
100국산배도라지즙,음료류,100g,50.0,0.0,0.0,13.0,6.0,,0.0,0.0,0.0,0.0
100국산서리태콩물,농산가공식품류,100g,38.5,3.5,1.6,2.42,0.56,,79.0,0.0,0.1,0.0
100국산순도토리칼국수,면류,100g,247.0,1.0,0.93,58.79,0.0,,4.0,0.0,0.21,0.0
100그대로블랙석류,음료류,100g,64.0,0.0,0.0,15.71,14.29,,0.0,0.0,0.0,0.0
100그대로핑크석류,음료류,100g,64.0,0.0,0.0,15.71,12.86,,0.0,0.0,0.0,0.0
100깔라만시,음료류,100g,36.0,0.0,0.0,9.0,9.0,,15.0,0.0,0.0,0.0
100년가 공화춘 중화면,면류,100g,270.0,6.0,0.9,59.0,0.0,,650.0,0.0,0.2,0.0
100년나무 순우리 가루미 백앙금 호두과자,과자류·빵류 또는 떡류,100g,275.0,6.0,4.6,52.0,26.0,,65.0,10.0,1.0,0.0
100년나무 순우리 가루미 호두과자,과자류·빵류 또는 떡류,100g,275.0,6.0,5.0,51.0,26.0,,85.0,15.0,1.1,0.0
100년나무 우리밀 백앙금 호두과자,과자류·빵류 또는 떡류,100g,275.0,6.0,4.6,52.0,26.0,,65.0,10.0,1.0,0.0
100년나무 통밀이 들어간 가루미 백앙금 호두과자,과자류·빵류 또는 떡류,100g,275.0,6.0,4.6,52.0,26.0,,65.0,10.0,1.0,0.0
100년나무 통밀이 들어간 가루미 호두과자,과자류·빵류 또는 떡류,100g,275.0,6.0,5.0,51.0,26.0,,85.0,15.0,1.1,0.0
100년나무 통밀이 들어간 가루미 호두과자용 반죽,기타식품류,100g,300.0,6.0,12.0,45.0,20.0,,150.0,50.0,3.0,0.0
100년나무 호두과자,과자류·빵류 또는 떡류,100g,275.0,6.0,5.0,51.0,26.0,,85.0,15.0,1.1,0.0
100년보다깊은제주콩청국장찌개,즉석식품류,100g,64.0,7.5,0.3,8.0,0.8,,108.0,0.0,0.2,0.0
100년전통문옥례된장,장류,100g,100.0,12.0,0.7,12.0,0.0,,6250.0,0.0,0.0,0.0
100노니주스,음료류,100g,20.0,0.0,0.0,5.0,3.0,,0.0,0.0,0.0,0.0
100담은 아누카사과추출 정,농산가공식품류,100g,384.0,3.0,1.3,90.0,23.0,,62.0,0.0,0.9,0.0
100당근착즙액,음료류,100g,30.0,1.0,0.0,7.0,4.0,,43.0,0.0,0.0,0.0
100레드비트,음료류,100g,27.0,0.0,0.0,6.8,6.0,,20.0,0.0,0.0,0.0
100레드비트착즙주스,음료류,100g,29.0,1.0,0.0,7.0,5.0,,54.0,0.0,0.0,0.0
100만 파로 효소,농산가공식품류,100g,385.0,14.58,1.9,77.46,4.72,,142.0,0.0,0.54,0.01
100메밀로만든메밀면,면류,100g,243.0,8.0,1.5,49.0,1.0,,0.0,0.0,0.0,0.0
100미니크로아상,과자류·빵류 또는 떡류,100g,320.0,8.0,16.0,36.0,6.0,,368.0,44.0,10.0,0.54
100발효노니주스,음료류,100g,24.0,0.0,0.0,6.0,4.0,,5.0,0.0,0.0,0.0
100배즙,음료류,100g,36.0,0.0,0.0,9.0,6.0,,0.0,0.0,0.0,0.0
100사각,수산가공식품류,100g,185.0,14.0,3.7,24.0,4.0,,826.0,31.0,0.3,0.0
100사각어묵,수산가공식품류,100g,185.0,14.0,3.7,24.0,4.0,,828.0,30.5,0.15,0.0
100사과착즙사용유산균발효워터젤리,음료류,100g,53.0,0.25,0.0,13.0,12.0,,3.0,0.0,0.0,0.0
100사과착즙사용유산균발효음료,음료류,100g,52.0,0.0,0.0,13.0,12.0,,0.0,0.0,0.0,0.0
100석류착즙주스,음료류,100g,62.0,0.0,0.0,15.0,12.0,,18.0,0.0,0.0,0.0
100순도토리칼국수,면류,100g,219.0,1.07,1.07,51.0,0.0,,10.0,0.0,0.21,0.0
100시간 도라지정과,절임류 또는 조림류,100g,332.0,2.59,2.59,79.67,16.86,,29.0,0.0,0.36,0.0
100애플비트캐롯주스,음료류,100g,41.0,1.0,0.1,9.0,7.33,,20.0,0.0,0.1,0.0
100억 유산균 푸룬,기타식품류,100g,53.0,0.0,0.0,13.33,10.0,,33.0,0.0,0.0,0.0
100엑스트라버진아보카도오일,식용유지류,100g,831.0,0.0,92.0,0.0,0.0,,0.0,0.0,17.5,0.0
100엑스트라버진아보카도오일캡슐,식용유지류,100g,900.0,0.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0
100오디주스,음료류,100g,43.0,0.0,0.0,10.9,10.2,,0.0,0.0,0.0,0.0
100옥수수국수,면류,100g,361.0,7.0,0.5,83.0,0.0,,5.0,0.0,0.1,0.0
100온리노니,음료류,100g,32.0,0.0,0.0,8.0,7.0,,34.0,0.0,0.0,0.0
100우리농산물로만든재래식된장,장류,100g,180.0,7.0,2.8,32.0,5.0,,3870.0,0.0,0.0,0.0
100우리쌀로만든이장님쌀과자,과자류·빵류 또는 떡류,100g,490.0,16.0,20.0,60.0,16.0,,520.0,41.2,3.4,0.0
100유기농 레몬즙 스틱,음료류,100g,21.0,0.2,0.31,4.5,1.19,,4.0,0.0,0.03,0.0
100유기농과일야채,음료류,100g,49.0,0.43,0.08,11.69,10.74,,7.0,0.0,0.02,0.0
100유기농레몬즙,음료류,100g,31.0,0.0,0.1,7.5,2.8,,2.0,0.0,0.0,0.0
100유기농발아미숫가루,즉석식품류,100g,430.0,14.0,8.0,76.0,3.0,,15.0,0.0,0.0,0.0
100유기농성암영귤과즙,음료류,100g,26.0,1.0,0.0,6.0,2.0,,18.0,0.0,0.0,0.0
100유기농스퀴즈포도,음료류,100g,70.0,0.0,0.0,17.0,17.0,,0.0,0.0,0.0,0.0
100유기농시벅손착즙액,음료류,100g,60.0,1.1,1.6,10.4,5.5,,80.0,0.0,0.02,0.0
100유기농애플사이다비니거,조미식품,100g,5.0,0.06,0.0,1.15,0.1,,8.0,0.0,0.0,0.0
100유기농야채농장ABC,음료류,100g,50.0,0.42,0.0,12.0,10.0,,48.0,0.0,0.0,0.0
100유기농야채농장유기농당근,음료류,100g,58.0,1.05,0.0,12.63,11.58,,32.0,0.0,0.0,0.0
100유기농우리배즙,음료류,100g,42.0,0.0,0.0,10.0,9.09,,12.0,0.0,0.0,0.0
100유기농청귤즙,음료류,100g,26.0,0.8,0.0,5.8,5.8,,2.0,0.0,0.0,0.0
100유기농청포도착즙주스,음료류,100g,81.0,0.0,0.0,20.0,19.0,,0.0,0.0,0.0,0.0
100유기농컬리케일,농산가공식품류,100g,364.0,24.1,4.0,58.0,4.8,,163.0,0.0,0.1,0.0
100유기농타트체리착즙주스,음료류,100g,55.0,0.7,0.0,13.0,11.0,,0.0,0.0,0.0,0.0
100유기농푸룬착즙주스,음료류,100g,78.0,0.7,0.0,19.0,10.0,,27.0,0.0,0.0,0.0
100이탈리안엑스트라버진올리브오일,식용유지류,100g,900.0,0.0,100.0,0.0,0.0,,0.0,0.0,15.0,0.0
100제주감귤착즙,음료류,100g,57.0,0.67,0.0,13.67,13.67,,38.0,0.0,0.0,0.0
100제주당근착즙주스,음료류,100g,31.0,0.0,0.2,7.0,6.0,,25.0,0.0,0.1,0.0
100주년 닛폰,코코아가공품류 또는 초콜릿류,100g,534.0,7.0,30.0,59.0,46.0,,90.0,10.0,14.0,0.2
100주년 씨쉘,코코아가공품류 또는 초콜릿류,100g,575.0,9.0,39.0,47.0,36.0,,20.0,5.0,19.0,0.1
100주년 에퀴송,코코아가공품류 또는 초콜릿류,100g,529.0,6.0,33.0,52.0,45.0,,120.0,25.0,22.0,0.3
100주년 파비올라,코코아가공품류 또는 초콜릿류,100g,575.0,9.0,39.0,47.0,43.0,,90.0,20.0,20.0,0.5
100착즙 레몬주스,음료류,100g,29.0,0.28,0.11,6.83,2.07,,1.0,0.0,0.03,0.0
100착즙 유기농 양배추 브로콜리즙,음료류,100g,25.0,0.5,0.0,6.0,4.0,,5.0,0.0,0.0,0.0
100착즙 유기농레몬즙,음료류,100g,31.0,0.3,0.2,6.9,1.3,,1.0,0.0,0.0,0.0
100착즙유기농레몬즙,음료류,100g,32.0,0.4,0.1,7.3,1.6,,6.0,0.0,0.0,0.0
100찰옥수수파스타,면류,100g,361.0,7.0,0.5,83.0,0.0,,5.0,0.0,0.1,0.0
100칼로리 믹스넛,농산가공식품류,100g,483.0,20.0,25.0,45.0,15.0,,0.0,0.0,3.5,0.0
100타트체리착즙주스,음료류,100g,55.0,0.7,0.0,13.0,11.0,,5.0,0.0,0.0,0.0
100통깨냉압착참기름,식용유지류,100g,898.0,0.0,99.6,0.0,0.0,,0.0,0.0,15.0,0.0
100통들깨냉압착생들기름,식용유지류,100g,894.0,0.0,99.0,1.0,0.0,,0.0,0.0,7.17,0.0
100통들깨들기름,식용유지류,100g,830.0,0.0,92.0,0.0,0.0,,0.0,0.0,9.0,0.0
100통밀깜빠뉴,과자류·빵류 또는 떡류,100g,269.0,14.4,4.79,42.16,1.99,,200.0,2.01,0.0,0.49
100통밀베이글,과자류·빵류 또는 떡류,100g,200.0,9.0,1.5,37.0,3.0,,300.0,0.0,0.0,0.0
100통밀우리밀피칸건포도통밀식빵,과자류·빵류 또는 떡류,100g,331.0,15.2,13.4,37.4,8.1,,168.0,0.0,1.6,0.0
100통밀우리밀호두살구식빵,과자류·빵류 또는 떡류,100g,293.0,15.6,6.3,43.5,4.5,,159.0,3.2,1.2,0.1
100통밀우리밀호두크랜베리식빵,과자류·빵류 또는 떡류,100g,306.0,15.0,7.7,44.1,6.6,,183.0,2.3,1.2,0.0
100통밀천연효모통밀식빵,과자류·빵류 또는 떡류,100g,269.0,14.4,4.79,42.16,1.99,,200.0,2.01,0.49,0.0
100통참깨참기름,식용유지류,100g,830.0,0.0,92.0,0.0,0.0,,0.0,0.0,16.0,0.0
100퍼센트 NFC 비트착즙 주스,음료류,100g,31.0,0.0,0.0,7.8,6.5,,20.0,0.0,0.0,0.0
100퍼센트 갈아만든 레드용과주스,음료류,100g,44.0,1.0,0.0,10.0,8.0,,0.0,0.0,0.0,0.0
100퍼센트 과일로 만든 딸기 잼,잼류,100g,175.0,1.0,0.2,42.0,42.0,,4.0,0.0,0.0,0.0
100퍼센트 과일로 만든 라즈베리 잼,잼류,100g,184.0,1.0,0.0,45.0,44.0,,0.0,0.0,0.0,0.0
100퍼센트 과일로 만든 무화과 잼,잼류,100g,180.0,1.0,0.2,44.0,43.0,,4.0,0.0,0.0,0.0
100퍼센트 과일로 만든 살구 잼,잼류,100g,180.0,1.0,0.0,44.0,44.0,,0.0,0.0,0.0,0.0
100퍼센트 망고주스,음료류,100g,85.0,1.0,0.21,19.8,17.2,,6.0,0.0,0.11,0.0
100퍼센트 메밀면,면류,100g,243.0,8.67,1.47,48.67,1.33,,0.0,0.0,0.0,0.0
100퍼센트 수박주스,음료류,100g,48.0,0.86,0.09,10.95,9.9,,1.0,0.0,0.0,0.0
100퍼센트 엑스트라버진아보카도오일,식용유지류,100g,840.0,0.0,93.0,0.0,0.0,,0.0,0.0,13.0,0.0
100퍼센트 유기농 프리미엄 비타민 나무열매 착즙액,음료류,100g,60.0,1.1,1.6,10.4,5.5,,80.0,0.0,0.02,0.0
100퍼센트 이탈리안 엑스트라 버진 올리브오일,식용유지류,100g,900.0,0.0,100.0,0.0,0.0,,0.0,0.0,15.0,0.0
100퍼센트 프리미엄 깔라만시원액,음료류,100g,14.0,0.0,0.0,3.5,0.0,,0.0,0.0,0.0,0.0
100퍼센트 프리미엄 노니 원액,음료류,100g,16.0,0.0,0.0,4.0,0.0,,10.0,0.0,0.0,0.0
100퍼센트사탕수수 주스,음료류,100g,80.0,0.0,0.0,20.0,7.0,,0.0,0.0,0.0,0.0
100퍼센트오가닉 코코넛워터,음료류,100g,16.0,0.0,0.0,4.0,3.0,,400.0,0.0,0.0,0.0
100퍼센트통밀베이글,과자류·빵류 또는 떡류,100g,235.0,10.59,1.77,43.53,3.53,,353.0,0.0,0.0,0.0
100퓨어노니주스,음료류,100g,32.0,0.0,0.0,8.0,7.0,,25.0,0.0,0.0,0.0
100퓨어하와이노니주스,음료류,100g,22.0,0.23,0.1,5.0,0.6,,8.0,0.0,0.0,0.0
100퓨어하와이안노니주스,음료류,100g,15.0,0.4,0.0,3.4,1.5,,11.0,0.0,0.0,0.0
100퓨어현미유,식용유지류,100g,819.0,0.0,91.0,0.0,0.0,,0.0,0.0,23.0,0.0
100프로 아몬드스프레드,농산가공식품류,100g,648.0,30.0,53.0,12.0,4.5,,0.0,0.0,5.0,0.0
100프리미엄노니원액,음료류,100g,17.0,0.0,0.0,3.33,0.0,,10.0,0.0,0.0,0.0
100피넛버터그릭샌드,즉석식품류,100g,287.0,10.94,12.0,33.89,4.89,,220.0,0.0,2.32,0.03
100피넛버터사과잼,즉석식품류,100g,315.0,13.23,13.54,35.09,12.05,,508.0,16.82,4.62,0.07
100피넛버터샌드,즉석식품류,100g,328.0,14.1,14.43,35.53,12.51,,484.0,11.44,3.5,0.12
100피넛애플샌드,즉석식품류,100g,325.0,12.43,13.26,38.96,5.79,,244.0,1.41,1.93,0.03
100호밀무설탕식빵,과자류·빵류 또는 떡류,100g,243.0,14.7,4.7,35.4,1.0,,267.0,0.0,0.0,0.0
100홍국쌀치아바타,과자류·빵류 또는 떡류,100g,270.0,11.0,4.0,48.0,4.0,,355.0,0.0,1.0,0.0
101번지 남산돈까스 전용유,식용유지류,100g,900.0,0.0,98.0,0.0,0.0,,0.0,0.0,15.0,0.0
101스트릿 디카페인 콜드브루커피,음료류,100g,11.0,0.37,0.34,1.55,0.0,,0.0,0.0,0.09,0.0
101스트릿 스페셜 콜드브루커피,음료류,100g,18.0,0.09,0.53,3.65,0.0,,0.0,0.0,0.06,0.0
101해쉬브라운,농산가공식품류,100g,185.6,1.58,9.44,23.62,0.0,,425.2,0.0,1.51,0.0
108겹크루아상식빵,과자류·빵류 또는 떡류,100g,436.0,8.58,24.37,45.71,8.73,,339.0,41.7,12.43,0.08
108크루아상식빵,과자류·빵류 또는 떡류,100g,436.0,8.58,24.37,45.71,8.73,,339.0,41.7,12.43,0.08
10’ 고디바 더블 초콜릿 치즈케익,과자류·빵류 또는 떡류,100g,399.0,4.32,28.4,31.48,23.46,,167.0,86.42,17.28,0.62
10’ 쿠키 앤 크림 치즈케익,과자류·빵류 또는 떡류,100g,388.0,4.55,24.03,38.32,27.28,,234.0,81.18,13.64,0.65
10’ 플레인 치즈케익,과자류·빵류 또는 떡류,100g,431.0,6.47,26.68,41.24,31.54,,339.5,117.26,15.36,0.81
10’화이트 초콜릿 라즈베리 치즈케익,과자류·빵류 또는 떡류,100g,486.0,5.66,33.16,41.24,33.16,,250.5,133.43,20.22,0.81
10’화이트초콜릿라즈베리치즈케이크,과자류·빵류 또는 떡류,100g,377.0,4.32,25.93,31.48,25.31,,222.0,101.85,16.67,0.93
10“와일드 스트로베리 앤드 크림 치즈케익,과자류·빵류 또는 떡류,100g,584.0,6.0,40.0,50.0,40.0,,340.0,175.0,24.0,1.0
10無 더건강한 오리훈제,식육가공품 및 포장육,100g,305.0,15.0,22.0,13.0,0.0,,340.0,100.0,6.0,0.0
10無 무항생제 더건강한 오리훈제,식육가공품 및 포장육,100g,230.0,19.0,14.0,7.0,0.7,,330.0,110.0,2.8,0.0
10가지 마녀스프용 비법재료,농산가공식품류,100g,42.0,2.02,0.21,8.08,1.03,,10.0,0.0,0.02,0.0
10가지 모듬쌀어묵,수산가공식품류,100g,147.0,10.6,2.3,20.8,3.1,,606.0,14.8,0.4,0.0
10곡미숫가루,즉석식품류,100g,413.0,15.0,6.67,73.33,2.0,,3.0,0.0,1.33,0.0
10곡미싯가루,즉석식품류,100g,396.0,9.8,3.2,82.0,0.6,,21.0,0.0,1.1,0.0
10리터 우유빙수,빙과류,100g,52.0,0.0,1.3,10.0,10.0,,25.0,0.0,1.3,0.0
10만 마력 초코 우피파이,과자류·빵류 또는 떡류,100g,485.0,5.0,31.67,45.0,30.0,,200.0,91.67,16.67,0.0
10무더건강한복분자오리훈제슬라이스,식육가공품 및 포장육,100g,305.0,15.0,22.0,13.0,0.0,,340.0,100.0,6.0,0.0
10무복분자n오리훈제,식육가공품 및 포장육,100g,315.0,17.0,27.0,1.0,0.0,,250.0,98.93,7.0,0.0
10무오리훈제,식육가공품 및 포장육,100g,242.0,17.96,18.29,1.4,0.19,,402.0,79.77,4.76,0.05
10배 음료 시럽,당류,100g,235.0,0.0,0.0,58.0,55.0,,82.0,0.0,0.0,0.0
10배 음료시럽,당류,100g,231.0,0.0,0.0,57.0,55.0,,81.0,0.0,0.0,0.0
10배농축 우동쯔유,조미식품,100g,85.0,4.17,0.63,15.84,14.17,,6788.0,0.0,0.0,0.0
10분쿡 간장찜닭소스,조미식품,100g,175.0,6.0,0.9,36.0,18.0,,1740.0,0.0,0.0,0.0
10분쿡 고등어조림소스,조미식품,100g,129.0,5.83,0.92,24.17,14.17,,1583.0,0.0,0.0,0.0
10분쿡 고추장조림소스,조미식품,100g,135.0,3.0,4.9,20.0,14.0,,1960.0,0.0,1.0,0.0
10분쿡 된장보쌈소스,조미식품,100g,133.0,5.83,0.75,25.83,14.17,,2000.0,0.0,0.0,0.0
10분쿡 일식 간장조림소스,조미식품,100g,85.0,3.0,0.0,18.0,14.0,,1930.0,0.0,0.0,0.0
10세기빵,과자류·빵류 또는 떡류,100g,160.0,7.5,9.72,13.89,13.89,,150.0,9.72,5.56,0.14
10알 월병세트,과자류·빵류 또는 떡류,100g,394.0,1.0,22.0,48.0,30.0,,102.0,7.0,2.0,0.0
10애플타르트,과자류·빵류 또는 떡류,100g,264.0,2.17,11.67,37.5,24.17,,55.0,35.0,7.5,0.25
10억 유산균이 들어간 곡물발효효소,농산가공식품류,100g,400.0,33.33,0.0,66.67,33.33,,267.0,0.0,0.0,0.0
10억 유산균이 들어간 곡물효소,농산가공식품류,100g,415.0,15.0,10.0,70.0,20.0,,350.0,0.0,5.0,0.0
10억 유산균이 들어간 뷰티 콜라겐 프로바이오틱스,기타식품류,100g,390.0,5.0,0.0,90.0,25.0,,50.0,0.0,0.0,0.0
10억 유산균이 들어간 속편한 양배추 발효효소,농산가공식품류,100g,400.0,15.0,0.0,75.0,25.0,,200.0,0.0,0.0,0.0
10억 유산균이 들어간 양배추 발효효소,농산가공식품류,100g,400.0,15.0,0.0,70.0,0.0,,200.0,0.0,0.0,0.0
10억 유산균이 들어간 화이트 글루타치온,기타식품류,100g,400.0,10.0,0.0,75.0,40.0,,100.0,0.0,0.0,0.0
10와일드스트로베리앤드크림치즈케이크,과자류·빵류 또는 떡류,100g,363.0,4.32,24.69,30.86,24.69,,210.0,111.11,15.43,0.93
10이탈리안크림토르테,과자류·빵류 또는 떡류,100g,379.0,3.1,25.58,34.11,23.26,,225.0,73.64,13.95,0.78
10인치 또르띠야,과자류·빵류 또는 떡류,100g,383.0,7.81,21.88,39.06,39.06,,547.0,0.0,3.0,0.0
10인치피자도우,과자류·빵류 또는 떡류,100g,351.0,10.4,13.0,48.0,2.0,,260.0,0.0,7.0,0.0
10초캔디Ⅰ,과자류·빵류 또는 떡류,100g,401.0,0.2,1.8,95.8,79.0,,0.0,0.0,0.5,0.0
10초캔디Ⅱ,과자류·빵류 또는 떡류,100g,401.0,0.2,1.8,95.8,79.0,,0.0,0.0,0.4,0.0
10턱시도무스치즈케이크,과자류·빵류 또는 떡류,100g,369.0,3.7,25.31,31.48,22.84,,148.0,83.33,14.81,0.62
10퍼지케이크,과자류·빵류 또는 떡류,100g,350.0,3.27,11.68,57.94,39.25,,220.0,21.03,3.74,0.0
10플레인치즈케이크,과자류·빵류 또는 떡류,100g,321.0,5.56,19.75,30.25,23.46,,259.0,95.68,12.35,0.93
10화이트초콜릿라즈베리치즈케이크,과자류·빵류 또는 떡류,100g,377.0,4.32,25.93,31.48,25.31,,222.0,101.85,16.67,0.93
110kcal 허브치킨 샐러드,즉석식품류,100g,91.0,7.44,2.81,11.57,3.31,,264.0,12.4,0.33,0.0
11kcal 다시마면,두부류 또는 묵류,100g,3.0,0.0,0.0,1.67,0.0,1.7,64.0,0.0,0.0,0.0
11가지 유기농 야채 그대로 야채티,농산가공식품류,100g,333.0,20.0,0.0,66.67,33.33,,200.0,0.0,0.0,0.0
11가지찬많은도시락,즉석식품류,100g,176.0,6.25,7.12,21.65,2.31,,331.0,24.4,1.3,0.01
11겹 작은 바움쿠헨,과자류·빵류 또는 떡류,100g,300.0,5.71,14.29,37.14,25.71,,100.0,128.57,7.14,0.0
11겹등심돈까스도시락,즉석식품류,100g,223.75,8.4,9.62,25.77,2.87,,348.5,14.88,2.11,0.06
11겹작은바움쿠헨,과자류·빵류 또는 떡류,100g,371.0,5.71,13.71,40.0,25.71,,57.0,128.57,6.86,0.0
11곡 곡류혼합효소분말,농산가공식품류,100g,400.0,13.0,4.5,77.0,6.0,,40.0,0.0,1.0,0.0
11곡 미숫가루 프로틴 쉐이크,즉석식품류,100g,438.0,35.0,5.0,45.0,15.0,,375.0,47.5,1.5,0.0
11곡곤드레나물밥,즉석식품류,100g,134.0,3.77,3.02,23.02,1.51,,343.0,0.0,0.26,0.0
11곡프리미엄선식,농산가공식품류,100g,451.0,20.77,14.09,60.32,2.24,,5.0,0.0,2.61,0.0
11단계 AI선별살균 국물용멸치,수산가공식품류,100g,287.0,60.8,4.7,0.3,0.0,,1742.0,476.5,1.7,0.0
11단계 AI선별살균 깨끗하고 짜지않은 소금무첨가 어린이멸치,수산가공식품류,100g,267.0,51.5,5.8,2.3,0.0,,2377.0,551.3,1.9,0.0
11찬도시락,즉석식품류,100g,178.6,6.2,6.57,23.71,3.28,,299.4,25.67,1.14,0.05
11혼합곡물,농산가공식품류,100g,500.0,10.0,50.0,10.0,10.0,,10.0,10.0,10.0,10.0
12000하이콜라겐,음료류,100g,154.0,24.0,0.14,14.0,10.0,,60.0,0.0,0.0,0.0
120kcal 펌킨치즈 샐러드,즉석식품류,100g,88.0,2.94,3.68,13.24,4.41,,221.0,7.35,1.47,0.0
120시간 숙성하여 맛이 깊고 부드러운 율무쌀,농산가공식품류,100g,387.0,17.2,5.26,67.62,0.6,,0.0,0.0,1.03,0.0
120시간 숙성하여 맛이 깊고 부드러운 팥,농산가공식품류,100g,340.0,21.8,1.72,59.43,0.77,,2.0,0.0,0.33,0.0
120줄김밥햄,식육가공품 및 포장육,100g,195.0,9.0,9.0,20.0,2.0,,970.0,30.0,3.0,0.0
120칼로리단슈닭샐러드,즉석식품류,100g,60.0,5.0,0.95,7.5,5.0,,290.0,14.06,0.1,0.0
123커피,음료류,100g,4.0,0.2,0.0,0.7,0.0,,0.0,0.0,0.0,0.0
